ID,Nombre,Slug,SKU,Estado,Categorias,Precio,Stock,Imagenes
"335","Herramienta Victorinox Termo Sifon 1.9L","termo-sifon-1-9l","WAY158894","publish","Wayu",,,
"334","Set 4 Vasos Redondos Vidrio","set-4-vasos-redondos-vidrio","WAY131162","publish","Wayu",,,"1"
"333","Herramienta Victorinox Sacacorcho, C/corta","sacacorcho-c-corta-capsula-negro-rojo","NAV76924","publish","Victorinox",,,
"332","Herramienta Victorinox Rescuetool de 111 Mm","rescuetool-111-mm-14-funciones-fluc","NAV8623MWN","publish","Victorinox",,,
"331","Herramienta Victorinox Plato Redondo Piedra Pizarra 25CM","plato-redondo-piedra-pizarra-25cm","WAY121050","publish","Wayu",,,
"330","Herramienta Victorinox Plato Giratorio Piedra Pizarra Pizza","plato-giratorio-piedra-pizarra-pizza","WAY116773","publish","Wayu",,,
"329","Herramienta Victorinox Plancha Iron Cast 50.8-23.4CM","plancha-iron-cast-50-8-23-4cm","WAY143008","publish","Wayu",,,
"328","Herramienta Victorinox Pelador Ypso, Aserrado Doble Filo","pelador-ypso-aserrado-doble-filo","NAV609633","publish","Victorinox",,,
"327","Herramienta Victorinox Pelador De Tomate/kiwi, Filo Doble Dentado, Rojo","pelador-de-tomate-kiwi-filo-doble-dentado-rojo","NAV609231","publish","Victorinox",,,"1"
"326","Herramienta Victorinox Pelador De Papas, Rex, Alumino Rojo","pelador-de-papas-rex-alumino-rojo","NAV609001","publish","Victorinox",,,
"325","Herramienta Victorinox Pelador De Papas, Filo Doble, Mango Madera","pelador-de-papas-filo-doble-mango-madera","NAV50209","publish","Victorinox",,,
"324","Herramienta Victorinox Gorro Golf,rojo","gorro-golfrojo","NAV611022","publish","Victorinox",,,
"323","Herramienta Victorinox Gorro Golf,negro","gorro-golfnegro","NAV611023","publish","Victorinox",,,
"322","Herramienta Victorinox Gorro De Lana, Rojo","gorro-de-lana-rojo","NAV611130","publish","Victorinox",,,
"321","Herramienta Victorinox Gorro De Lana, Gris","gorro-de-lana-gris","NAV611132","publish","Victorinox",,,
"320","Gorro de Lana, Deluxe, Rojo","gorro-de-lana-deluxe-rojo","NAV611133","publish","Victorinox",,,"1"
"319","Herramienta Victorinox Gorro De Lana, Deluxe , Gris","gorro-de-lana-deluxe-gris","NAV611134","publish","Victorinox",,,
"318","Herramienta Victorinox Estuche Cuero C/cordon, Style Icon","estuche-cuero-c-cordon-style-icon","NAV406702","publish","Victorinox",,,
"317","Herramienta Victorinox Estuche Cuero C/cordon, Dark Ilusion","estuche-cuero-c-cordon-dark-ilusion","NAV406701","publish","Victorinox",,,
"316","Herramienta Victorinox Estu, 32,PIEL,CAFE,ADHESIVO","estu-32pielcafeadhesivo","NAV40548","publish","Victorinox",,,
"315","Herramienta Victorinox Estu, 29,PIEL,NEGRO,ADHESIVO","estu-29pielnegroadhesivo","NAV40523","publish","Victorinox",,,
"314","Herramienta Victorinox Estu, 15,PIEL,CAFE,ADHESIVO","estu-15pielcafeadhesivo","NAV40545","publish","Victorinox",,,
"313","Herramienta Victorinox Estu, 14,PIEL,CEFE,ADHESIVO","estu-14pielcefeadhesivo","NAV0543","publish","Victorinox",,,
"312","Herramienta Victorinox Cuchillo Verd,punt Mango ROJO 10CM","cuchillo-verdpunt-mango-roj0-10cm","NAV67701","publish","Victorinox",,,
"311","Herramienta Victorinox Cuchillo Verd,punt Mango Ny Neg 10","cuchillo-verdpunt-mango-ny-neg-10","NAV67703","publish","Victorinox",,,
"310","Herramienta Victorinox Cuchillo Verd,dent,punt Mango Ny Neg 8CM","cuchillo-verddentpunt-mango-ny-neg-8cm","NAV67633","publish","Victorinox",,,
"309","Herramienta Victorinox Cuchillo Verd, 2 Und, Puntiagudo,nylon Naranja","cuchillo-verd-2-und-puntiagudonylon-naranja","NAV676011","publish","Victorinox",,,
"308","Herramienta Victorinox Cuchillo Verd Hoj Rect Mang 8 Cm Rojo","cuchillo-verd-hoj-rect-mang-8-cm-rojo","NAV67601","publish","Victorinox",,,
"307","Herramienta Victorinox Cuchillo Verd Hoj Rect Mang 8 Cm Negro","cuchillo-verd-hoj-rect-mang-8-cm-negro","NAV67403","publish","Victorinox",,,
"306","Herramienta Victorinox Cuchillo VERD,2U,PUNT Mango Negro 8CM","cuchillo-verd2upunt-mango-negro-8cm","NAV67603B","publish","Victorinox",,,
"305","Herramienta Victorinox Cuchillo VERD,2U,DENT+LISO Verde 10 Cm","cuchillo-verd2udentliso-verde-10-cm","NAV67796L4D","publish","Victorinox",,,
"304","Herramienta Victorinox Cuchillo VERD,2U,DENT+LISO Rosado 10 Cm","cuchillo-verd2udentliso-rosado-10-cm","NAV67796L5D","publish","Victorinox",,,
